statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood
309165,986,473,383650,43,False,True,False,3.031782329145907,0.009669067897523536,0.004638406810880967,3.7622088223984838,0.00042167334644372425,2.0845665961945032,11,0,11,0,161,0.002107299993062681
452829,10837,11417,209402,598,False,True,False,3.859784017612243,0.09237146781426075,0.0973152208208374,1.78488235703994,0.00509717982402214,0.94919856354559,11,0,12,0,156,0.002098286799388859
66,22,30,69,0,True,True,False,-2.8564215385725107,-0.9521405128575036,-1.2983734266238685,-2.9862588812348974,-0.0,0.7333333333333333,15,0,4,0,22,0.0024676285358676254
68185,374,786,24649,6,False,True,False,0.8300723681577536,0.0045530111562807046,0.009568627724162122,0.300072652382789,7.304295972642842e-05,0.4758269720101781,10,3,2,0,21,0.0002073110055050062
40,43,61,2,0,True,True,False,-2.1099210244838753,-2.2681651013201662,-3.21762956233791,-0.10549605122419377,-0.0,0.7049180327868853,11,1,1,0,75,0.0008756227090931647
5568,186,634,2115,0,True,True,False,0.23197509489606186,0.007749168040708962,0.026413830848438076,0.08811553981773901,0.0,0.29337539432176657,6,1,5,0,159,0.0003179022359102515
3582,227,364,30646,2,True,True,False,0.36023624538359317,0.022829041792874274,0.03660692164143716,3.0820212105040747,0.00020113693209580858,0.6236263736263736,10,3,9,0,83,0.0010311996365495782
23631,295,68,70113,2,True,True,False,1.355423047267972,0.016920561928993768,0.0039003329192256824,4.021530028906915,0.00011471567409487301,4.338235294117647,9,4,33,1,108,0.0005296637382538659
32215,552,2117,29671,0,False,True,False,0.41404944372428315,0.007094685486133923,0.02720914705461144,0.3813521975707964,0.0,0.26074633915918755,8,0,7,0,25,0.0016527903532064419
26371,445394,112,2,2633,False,True,False,0.22249209785996274,3.7577886858382405,0.0009449438762396506,1.687399778999376e-05,0.022214618090526786,3976.7321428571427,9,0,9,0,69,0.0013970944771266754
708,8,24,529,0,True,True,False,0.5721190289509558,0.006464621796055997,0.01939386538816799,0.4274731162642028,0.0,0.3333333333333333,11,0,6,0,54,0.0017738619915157502
12359,3,0,0,0,True,True,False,4.224723010233363,0.0010255011757181072,0.0,0.0,0.0,3.0,15,8,12,0,115,0.0004980270784421126
29352,103,651,67597,0,True,True,False,2.0775635768110865,0.007290441823778342,0.04607842356582234,4.784582485067423,0.0,0.15821812596006143,7,0,38,0,3,0.0005570102379044492
4146,64,238,11173,5,True,True,False,0.6729619102639001,0.010388220515409939,0.03863119504168071,1.8135560596668006,0.0008115797277664014,0.2689075630252101,15,8,7,0,55,0.00046723289300379476
332,116,205,306,0,True,True,False,0.018238728753281103,0.006372567877652434,0.011261865645851283,0.016810394573807282,0.0,0.5658536585365853,14,1,35,0,3,0.0019768215797788783
646,84,307,6319,0,True,True,False,0.1645797208853619,0.02140045906249288,0.07821358252601564,1.6098750097130061,0.0,0.2736156351791531,11,2,2,0,17,0.0011321241900774178
148,14,74,2118,0,True,True,False,0.019129712266938763,0.0018095673766023153,0.009564856133469381,0.27376169311740745,0.0,0.1891891891891892,12,2,30,0,66,0.0015573544791115247
177641,1310,5001,149234,11,True,True,False,5.6088121803113715,0.041361757455811984,0.15790087712711126,4.711893520733318,0.00034731246718620754,0.26194761047790444,15,0,13,0,146,0.0020443305902998117
102,82,103,323,0,True,True,False,0.0022713857509823266,0.0018260159958877525,0.002293654238737055,0.0071927215447773665,0.0,0.7961165048543689,12,4,6,1,26,0.0003287883158442721
861,3698,273,721,25,True,True,False,0.1125673148620669,0.4834772710335928,0.03569207544406999,0.0942636864292105,0.003268505077295787,13.545787545787546,7,0,14,0,119,0.00033372222772364127
4238,136,313,319,0,True,True,False,0.04364555824570808,0.0014006125345484425,0.0032234685537769303,0.0032852602832423024,0.0,0.43450479233226835,13,0,4,0,70,0.003113430073391694
113869,77,272,38,1,True,True,False,1.1237934035781016,0.0007599266883481354,0.0026844163536453615,0.0003750287552886902,9.869177770755005e-06,0.28308823529411764,9,4,12,0,12,0.00113765450794938
11788,7,206,1198,0,True,True,False,0.4309670318365358,0.0002559186649860664,0.007531320712447096,0.04379865152190107,0.0,0.03398058252427184,10,2,12,2,3,0.0011180217255726055
201,61,67,180,0,True,True,False,0.01386664256676383,0.004208284560062655,0.0046222141889212765,0.012417888865758654,0.0,0.9104477611940298,7,4,2,0,38,0.00010384726951257576
1197,57,1258,2208,0,True,True,False,0.15816667020252542,0.007531746200120259,0.16622695999563658,0.2917560633309742,0.0,0.04531001589825119,13,2,6,0,3,0.0009232464336170659
57037,763,668,7159,76,True,True,False,4.82869840304101,0.06459485739993848,0.05655224736980197,0.6060741600604974,0.006434088024109205,1.1422155688622755,13,0,10,0,79,0.001931096003084583
4159,79,75,89,3,True,True,False,1.113536650233292,0.02115157378418612,0.020080608022961504,0.023828988187247654,0.0008032243209184603,1.0533333333333332,9,0,7,0,59,0.0017459291274780778
37783,1112,2558,40541,9,False,True,False,0.7219816382876069,0.021248804535791727,0.04887989388718996,0.7746832596092917,0.00017197773455227116,0.43471462079749806,15,0,28,4,108,0.00496579730181624
2,2,25,21,0,True,True,False,-0.08802709278300098,-0.08802709278300098,-1.1003386597875124,-0.9242844742215104,-0.0,0.08,10,0,15,0,3,0.0009162364012581976
2332,2339,1671,2380,10,True,True,False,0.708932745123174,0.7110607593666827,0.5079874001289981,0.7235248427929477,0.0030400203478695284,1.3997606223818073,13,1,29,0,127,0.0020761921596040758
6606,441,1053,51394,0,True,True,False,0.11337020016407541,0.007568310365176696,0.018071271688279048,0.882008487319481,0.0,0.4188034188034188,15,0,19,0,49,0.0012200594411243266
3375,176,627,486,0,True,True,False,0.12609279645241497,0.006575505829814825,0.023425239518715314,0.018157362689147756,0.0,0.2807017543859649,13,8,5,0,6,0.00031186903268356673
5655,10000,18,103,18,True,True,False,2.029093238120042,3.5881401204598444,0.0064586522168277195,0.03695784324073639,0.0064586522168277195,555.5555555555555,13,0,12,0,72,0.0005368823005084512
13380,789,394,75308,1,False,True,False,0.14287264301516567,0.008425001146409993,0.004207161535723114,0.8041444693711581,1.067807496376425e-05,2.00253807106599,12,0,27,0,54,0.0030813209200528714
