screen_name,cap,overall
fiw29291467,0.832785604,0.84
Lovefunny9,0.805342903,0.57
dixiefive,0.816933671,0.79
MarcosMiguelDa1,0.743720537,0.23
anajuliaag_,0.79471081,0.33
INDEPENDIENTEgc,0.802386356,0.39
wistykitty,0.805217634,0.63
o_o9emi4naev510,0.803021245,0.4
FailedThinking,0.574268603,0.13
litmantiko,0.80912737,0.74
ReisengRath,0.760577756,0.25
sweetmatcha,0.799570189,0.36
kireiniikitaiyo,0.842103164,0.86
Geshi0x7e9,0.694516142,0.19
f4irygracie,0.80912737,0.74
memgc5,0.799570189,0.36
cartii_444,0.805247828,0.64
JBias0106,0.678486427,0.18
romskrrt,0.773345711,0.27
FTChinese,0.828806942,0.83
sweetylimba,0.806895573,0.71
LynneBr10931386,1,1
QaisyaQ,0.786564267,0.3
keepout34007062,0.778449498,0.28
CachosdeCarol1,0.798228728,0.35
KillahBee93,0.708983079,0.2
